src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,False,True,False
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,False
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,False,False,False
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,False,True,False
True,True,True,True,True,True
True,True,True,False,False,False
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,False,False,False
True,True,True,False,False,False
True,True,True,False,False,False
True,True,True,False,True,False
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,False,True,False
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,False,False,False
True,True,True,False,True,False
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,False,True,False
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,False
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,False,False,False
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,False,True,False
True,True,True,True,True,True
True,True,True,False,False,False
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,False,False,False
True,True,True,False,False,False
True,True,True,False,False,False
True,True,True,False,True,False
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,False,True,False
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,False,False,False
True,True,True,False,True,False
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,False,True,False
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,False,False,False
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,False,True,False
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,False,False,False
True,True,True,False,False,False
True,True,True,False,True,False
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,False,True,False
True,True,False,False,False,True
True,True,True,False,True,False
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,False,False,False
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,False,False,True
True,True,False,False,False,True
True,True,False,False,False,True
True,True,False,False,False,True
True,True,False,False,False,True
True,True,True,True,False,False
True,True,True,False,False,False
True,True,True,False,False,False
True,True,True,False,False,False
True,True,True,False,False,False
True,True,True,False,False,False
True,True,False,False,False,True
True,True,False,False,False,True
True,True,False,False,False,True
True,True,False,False,False,True
True,True,False,False,False,True
True,True,False,False,False,False
True,True,False,False,False,True
True,True,False,False,False,False
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,False,True,False
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,False,True,False
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,False,True,False
True,True,True,True,True,True
True,True,True,False,True,False
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,False,True,False
True,True,True,False,True,False
True,True,True,False,True,False
True,True,True,False,True,False
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,False,True,False
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,False,True,False
True,True,True,False,True,False
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,False,True,False
True,True,False,True,False,True
True,True,True,False,True,False
True,True,True,False,True,False
True,True,False,True,False,True
True,True,True,False,True,False
True,True,True,False,True,False
True,True,True,False,True,False
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,False,True,False
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,False,True,False
True,True,True,False,True,False
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,False,True,False
True,True,True,False,False,False
True,True,True,False,True,False
True,True,True,False,True,False
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,False,True,False
True,True,True,False,True,False
True,True,True,True,True,True
True,True,True,False,True,False
True,True,True,False,True,False
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,False,True,False
True,True,True,False,True,False
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,False,True,True
True,True,False,True,True,True
True,True,True,False,True,True
True,True,True,True,True,True
True,True,True,False,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,False,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,False,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,False,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,False,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,False,True,True
True,True,True,True,True,True
True,True,True,False,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,False,False,True
True,True,True,False,True,True
True,True,True,False,False,True
True,True,True,False,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,False,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,False,True,True
True,True,True,True,True,True
True,True,True,False,True,True
True,True,True,False,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,False,True,True
True,True,True,True,True,True
True,True,True,False,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,False,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,False
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,False,False,False
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,False,True,False
True,True,True,True,True,True
True,True,True,False,False,False
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,False,False,False
True,True,True,False,False,False
True,True,True,False,False,False
True,True,True,False,True,False
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,False,True,False
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,False,False,False
True,True,True,False,True,False
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
True,True,True,True,True,True
True,True,False,True,False,True
True,True,True,True,True,True
